id,dut,categories,test,description,inputs,result,messages
1112,s2-spine1,Connectivity,VerifyLLDPNeighbors,Verifies that the provided LLDP neighbors are connected properly.,Local: Ethernet5 - Remote: s2-leaf4 Ethernet2,PASS,
1113,s2-spine1,Connectivity,VerifyLLDPNeighbors,Verifies that the provided LLDP neighbors are connected properly.,Local: Ethernet7 - Remote: s2-brdr1 Ethernet2,PASS,
1114,s2-spine1,Connectivity,VerifyLLDPNeighbors,Verifies that the provided LLDP neighbors are connected properly.,Local: Ethernet8 - Remote: s2-brdr2 Ethernet2,PASS,
1115,s2-spine1,Connectivity,VerifyReachability,Test the network reachability to one or many destination IP(s).,Source: P2P Interface Ethernet2 (IP: 172.32.255.200) - Destination: s2-leaf1 Ethernet2 (IP: 172.32.255.201),PASS,
1116,s2-spine1,Connectivity,VerifyReachability,Test the network reachability to one or many destination IP(s).,Source: P2P Interface Ethernet3 (IP: 172.32.255.204) - Destination: s2-leaf2 Ethernet2 (IP: 172.32.255.205),PASS,
1117,s2-spine1,Connectivity,VerifyReachability,Test the network reachability to one or many destination IP(s).,Source: P2P Interface Ethernet4 (IP: 172.32.255.208) - Destination: s2-leaf3 Ethernet2 (IP: 172.32.255.209),PASS,
1118,s2-spine1,Connectivity,VerifyReachability,Test the network reachability to one or many destination IP(s).,Source: P2P Interface Ethernet5 (IP: 172.32.255.212) - Destination: s2-leaf4 Ethernet2 (IP: 172.32.255.213),PASS,
1119,s2-spine1,Connectivity,VerifyReachability,Test the network reachability to one or many destination IP(s).,Source: P2P Interface Ethernet7 (IP: 172.32.255.216) - Destination: s2-brdr1 Ethernet2 (IP: 172.32.255.217),PASS,
1120,s2-spine1,Connectivity,VerifyReachability,Test the network reachability to one or many destination IP(s).,Source: P2P Interface Ethernet8 (IP: 172.32.255.220) - Destination: s2-brdr2 Ethernet2 (IP: 172.32.255.221),PASS,
1121,s2-spine1,Hardware,VerifyEnvironmentCooling,Verifies the status of power supply fans and all fan trays.,Accepted States: 'ok',SKIPPED,VerifyEnvironmentCooling test is not supported on cEOSLab.
1122,s2-spine1,Hardware,VerifyEnvironmentPower,Verifies the power supplies status.,Accepted States: 'ok',SKIPPED,VerifyEnvironmentPower test is not supported on cEOSLab.
1123,s2-spine1,Hardware,VerifyTemperature,Verifies the device temperature.,,SKIPPED,VerifyTemperature test is not supported on cEOSLab.
1124,s2-spine1,Hardware,VerifyTransceiversManufacturers,Verifies if all transceivers come from approved manufacturers.,"Accepted Manufacturers: 'Arista Networks', 'Arastra, Inc.', 'Not Present'",SKIPPED,VerifyTransceiversManufacturers test is not supported on cEOSLab.
1125,s2-spine1,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Ethernet2 - P2P_LINK_TO_S2-LEAF1_Ethernet2 = 'up',PASS,
1126,s2-spine1,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Ethernet3 - P2P_LINK_TO_S2-LEAF2_Ethernet2 = 'up',PASS,
1127,s2-spine1,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Ethernet4 - P2P_LINK_TO_S2-LEAF3_Ethernet2 = 'up',PASS,
1128,s2-spine1,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Ethernet5 - P2P_LINK_TO_S2-LEAF4_Ethernet2 = 'up',PASS,
1129,s2-spine1,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Ethernet7 - P2P_LINK_TO_S2-BRDR1_Ethernet2 = 'up',PASS,
1130,s2-spine1,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Ethernet8 - P2P_LINK_TO_S2-BRDR2_Ethernet2 = 'up',PASS,
1131,s2-spine1,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Loopback0 - EVPN_Overlay_Peering = 'up',PASS,
1132,s2-spine1,Routing,VerifyRoutingProtocolModel,Verifies the configured routing protocol model.,Routing protocol model: multi-agent,PASS,
1133,s2-spine1,System,VerifyNTP,Verifies if NTP is synchronised.,,PASS,
1134,s2-spine2,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s).,BGP EVPN Peer: s2-brdr1 (IP: 192.2.255.57),PASS,
1135,s2-spine2,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s).,BGP EVPN Peer: s2-brdr2 (IP: 192.2.255.58),PASS,
1136,s2-spine2,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s).,BGP EVPN Peer: s2-leaf1 (IP: 192.2.255.53),PASS,
1137,s2-spine2,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s).,BGP EVPN Peer: s2-leaf2 (IP: 192.2.255.54),PASS,
1138,s2-spine2,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s).,BGP EVPN Peer: s2-leaf3 (IP: 192.2.255.55),PASS,
1139,s2-spine2,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s).,BGP EVPN Peer: s2-leaf4 (IP: 192.2.255.56),PASS,
1140,s2-spine2,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s).,BGP IPv4 Unicast Peer: s2-brdr1 (IP: 172.32.255.219),PASS,
1141,s2-spine2,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s).,BGP IPv4 Unicast Peer: s2-brdr2 (IP: 172.32.255.223),PASS,
1142,s2-spine2,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s).,BGP IPv4 Unicast Peer: s2-leaf1 (IP: 172.32.255.203),PASS,
1143,s2-spine2,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s).,BGP IPv4 Unicast Peer: s2-leaf2 (IP: 172.32.255.207),PASS,
1144,s2-spine2,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s).,BGP IPv4 Unicast Peer: s2-leaf3 (IP: 172.32.255.211),PASS,
1145,s2-spine2,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s).,BGP IPv4 Unicast Peer: s2-leaf4 (IP: 172.32.255.215),PASS,
1146,s2-spine2,Connectivity,VerifyLLDPNeighbors,Verifies that the provided LLDP neighbors are connected properly.,Local: Ethernet2 - Remote: s2-leaf1 Ethernet3,PASS,
1147,s2-spine2,Connectivity,VerifyLLDPNeighbors,Verifies that the provided LLDP neighbors are connected properly.,Local: Ethernet3 - Remote: s2-leaf2 Ethernet3,PASS,
1148,s2-spine2,Connectivity,VerifyLLDPNeighbors,Verifies that the provided LLDP neighbors are connected properly.,Local: Ethernet4 - Remote: s2-leaf3 Ethernet3,PASS,
1149,s2-spine2,Connectivity,VerifyLLDPNeighbors,Verifies that the provided LLDP neighbors are connected properly.,Local: Ethernet5 - Remote: s2-leaf4 Ethernet3,PASS,
1150,s2-spine2,Connectivity,VerifyLLDPNeighbors,Verifies that the provided LLDP neighbors are connected properly.,Local: Ethernet7 - Remote: s2-brdr1 Ethernet3,PASS,
1151,s2-spine2,Connectivity,VerifyLLDPNeighbors,Verifies that the provided LLDP neighbors are connected properly.,Local: Ethernet8 - Remote: s2-brdr2 Ethernet3,PASS,
1152,s2-spine2,Connectivity,VerifyReachability,Test the network reachability to one or many destination IP(s).,Source: P2P Interface Ethernet2 (IP: 172.32.255.202) - Destination: s2-leaf1 Ethernet3 (IP: 172.32.255.203),PASS,
1153,s2-spine2,Connectivity,VerifyReachability,Test the network reachability to one or many destination IP(s).,Source: P2P Interface Ethernet3 (IP: 172.32.255.206) - Destination: s2-leaf2 Ethernet3 (IP: 172.32.255.207),PASS,
1154,s2-spine2,Connectivity,VerifyReachability,Test the network reachability to one or many destination IP(s).,Source: P2P Interface Ethernet4 (IP: 172.32.255.210) - Destination: s2-leaf3 Ethernet3 (IP: 172.32.255.211),PASS,
1155,s2-spine2,Connectivity,VerifyReachability,Test the network reachability to one or many destination IP(s).,Source: P2P Interface Ethernet5 (IP: 172.32.255.214) - Destination: s2-leaf4 Ethernet3 (IP: 172.32.255.215),PASS,
1156,s2-spine2,Connectivity,VerifyReachability,Test the network reachability to one or many destination IP(s).,Source: P2P Interface Ethernet7 (IP: 172.32.255.218) - Destination: s2-brdr1 Ethernet3 (IP: 172.32.255.219),PASS,
